short_name,character,unicode
zoom-out,,EB82
zoom-in,,EB81
worktree,,EC7E
worktree-small,,EC7D
worktree-compact,,ECBD
workspace-untrusted,,EBC2
workspace-unknown,,EBC3
workspace-trusted,,EBC1
word-wrap,,EB80
window,,EAAE
window-compact,,EC97
window-active,,EC72
whole-word,,EB7E
whitespace,,EB7D
watch,,EB7C
warning,,EA6C
warning-compact,,EC99
wand,,EBCF
vscode,,EC29
vscode-outline,,ECCA
vscode-insiders,,EC2A
vscode-insiders-outline,,ECC9
vr,,EC18
voice-mode,,ECCB
voice-mode-compact,,ECCC
vm,,EA7A
vm-small,,EC79
vm-running,,EB7B
vm-pending,,ECBC
vm-outline,,EB7A
vm-connect,,EBA9
vm-compact,,ECC3
vm-active,,EB79
versions,,EB23
verified,,EB77
verified-filled,,EBE9
variable-group,,EBB8
unverified,,EB76
unpin,,EC9E
unmute,,EB75
unlock,,EB74
ungroup-by-ref-type,,EB98
unfold,,EB73
unarchive,,EC76
type-hierarchy,,EBB9
type-hierarchy-super,,EBBB
type-hierarchy-sub,,EBBA
twitter,,EB72
triangle-up,,EB71
triangle-right,,EB70
triangle-left,,EB6F
triangle-down,,EB6E
trash,,EA81
tools,,EB6D
thumbsup,,EB6C
thumbsup-filled,,EC14
thumbsdown,,EB6B
thumbsdown-filled,,EC13
three-bars,,EB6A
thinking,,EC59
text-size,,EB69
terminal,,EA85
terminal-ubuntu,,EBC9
terminal-tmux,,EBC8
terminal-secure,,EC85
terminal-powershell,,EBC7
terminal-linux,,EBC6
terminal-git-bash,,EC71
terminal-debian,,EBC5
terminal-compact,,ECBB
terminal-cmd,,EBC4
terminal-bash,,EBCA
telescope,,EB68
tasklist,,EB67
target,,EBF8
tag,,EA66
table,,EBB7
sync,,EA77
sync-ignored,,EB9F
sync-compact,,ECBA
symbol-variable,,EA88
symbol-structure,,EA91
symbol-string,,EA93
symbol-snippet,,EB66
symbol-ruler,,EA96
symbol-property,,EB65
symbol-parameter,,EA92
symbol-operator,,EB64
symbol-numeric,,EA90
symbol-namespace,,EA8B
symbol-misc,,EB63
symbol-method,,EA8C
symbol-method-arrow,,EC41
symbol-keyword,,EB62
symbol-interface,,EB61
symbol-file,,EA7B
symbol-field,,EB5F
symbol-event,,EA86
symbol-enum,,EA95
symbol-enum-member,,EB5E
symbol-constant,,EB5D
symbol-color,,EB5C
symbol-color-compact,,EC96
symbol-class,,EB5B
symbol-boolean,,EA8F
symbol-array,,EA8A
surround-with,,EC24
strikethrough,,EC64
stop-circle,,EBA5
star-half,,EB5A
star-full,,EB59
star-empty,,EA6A
squirrel,,EB58
split-vertical,,EB57
split-horizontal,,EB56
sparkle,,EC10
sparkle-filled,,EC21
sparkle-compact,,EC95
source-control,,EA68
sort-precedence,,EB55
snake,,EC16
smiley,,EB54
skip,,EC6A
sign-out,,EA6E
sign-in,,EA6F
shield,,EB53
shield-compact,,EC94
share,,EC25
share-window,,EC88
settings,,EB52
settings-gear,,EB51
settings-compact,,ECC2
session-in-progress,,EC77
session-in-progress-compact,,ECB9
server,,EB50
server-process,,EBA2
server-environment,,EBA3
send,,EC0F
send-to-remote-agent,,EC53
search,,EA6D
search-stop,,EB4E
search-sparkle,,EC50
search-large,,EC70
search-fuzzy,,EC0D
search-compact,,ECB8
screen-normal,,EB4D
screen-full,,EB4C
screen-cut,,EC7F
save,,EB4B
save-as,,EB4A
save-all,,EB49
run-with-deps,,EC62
run-errors,,EBDE
run-coverage,,EC2C
run-compact,,ECC4
run-below,,EBBE
run-all,,EB9E
run-all-coverage,,EC2D
run-above,,EBBD
ruby,,EB48
rss,,EB47
root-folder,,EB46
root-folder-opened,,EB45
rocket,,EB44
rocket-compact,,EC9D
robot,,EC20
right-panel-show,,ECC8
right-panel-hide,,ECC7
request-changes,,EB43
report,,EB42
repo,,EA62
repo-selected,,EC69
repo-push,,EB41
repo-pull,,EB40
repo-pinned,,EC43
repo-forked,,EA63
repo-forked-compact,,EC92
repo-force-push,,EB3F
repo-fetch,,EC1D
repo-compact,,EC93
repo-clone,,EB3E
reply,,EA7D
replace,,EB3D
replace-all,,EB3C
rename,,EC61
remove,,EB3B
remove-small,,EC7C
remote,,EB3A
remote-explorer,,EB39
remote-compact,,EC91
regex,,EB38
refresh,,EB37
refresh-compact,,ECB7
references,,EB36
redo,,EBB0
record,,EBA7
record-small,,EBFA
record-keys,,EA65
record-keys-compact,,EC90
reactions,,EB35
radio-tower,,EB34
quotes,,EC60
quote,,EB33
question,,EB32
python,,EC39
pulse,,EB31
project,,EB30
project-compact,,ECB6
primitive-square,,EA72
preview,,EB2F
preserve-case,,EB2E
plug,,EB2D
play,,EB2C
play-circle,,EBA6
pinned,,EBA0
pinned-dirty,,EBB2
pin,,EB2B
pie-chart,,EBE4
piano,,EC1A
person,,EA67
person-add,,EBCD
percentage,,EC33
pass,,EBA4
pass-filled,,EBB3
pass-filled-compact,,ECB5
pass-compact,,EC9A
